"('Prog1', 'A3sg')",6230797468793821.0,1061,2850
"('Inf1→Noun', 'A3sg')",6230797469560083.0,368,2850
"('Neg', 'Aor')",1.314297772031006e+16,143,399
"('Neg', 'A3pl')",1.3707868497754788e+16,143,249
"('Aor', 'A3pl')",1.370786849597534e+16,399,249
"('PastPart→Adj', 'P1sg')",1.4415168192626224e+16,102,67
"('Past', 'A3pl')",1.3707868496632344e+16,2041,249
"('Past', 'A1sg')",1.1381736378584804e+16,2041,898
"('Neg', 'A1sg')",1.138173638029077e+16,143,898
"('Aor', 'A1sg')",1.1381736379182422e+16,399,898
"('Past', 'A3sg')",6230797468929161.0,2041,2850
"('Neg', 'Fut')",1.4202772709054936e+16,143,121
"('Neg', 'A3sg')",6230797470241775.0,143,2850
"('Fut', 'A3sg')",6230797468547973.0,121,2850
"('PastPart→Noun', 'A3sg')",6230797469998972.0,179,2850
"('PastPart→Noun', 'P2pl')",1.4577825536355822e+16,179,26
"('A3sg', 'P2pl')",1.4577825542057196e+16,2850,26
"('Aor', 'A3sg')",6230797468651184.0,399,2850
"('Past', 'A1pl')",1.3784420073913674e+16,2041,229
"('Pass→Verb', 'PastPart→Noun')",1.3977013619190912e+16,251,179
"('Pass→Verb', 'A3sg')",6230797470742798.0,251,2850
"('Pass→Verb', 'P2sg')",1.453009524421823e+16,251,38
"('Pass→Verb', 'Loc')",1.4597752417664266e+16,251,21
"('PastPart→Noun', 'P2sg')",1.4530095243290276e+16,179,38
"('PastPart→Noun', 'Loc')",1.4597752416860842e+16,179,21
"('A3sg', 'P2sg')",1.45300952493102e+16,2850,38
"('A3sg', 'Loc')",1.4597752422714912e+16,2850,21
"('P2sg', 'Loc')",1.459775241281577e+16,38,21
"('Able→Verb', 'FutPart→Adj')",1.4621667264712392e+16,106,15
"('Able→Verb', 'P3sg')",1.430480182687129e+16,106,95
"('FutPart→Adj', 'P3sg')",1.4304801824281136e+16,15,95
"('Able→Verb', 'FutPart→Noun')",1.4629648397395072e+16,106,13
"('Able→Verb', 'A3sg')",6230797470047152.0,106,2850
"('Able→Verb', 'P1pl')",1.441912383466864e+16,106,66
"('FutPart→Noun', 'A3sg')",6230797468667822.0,13,2850
"('FutPart→Noun', 'P1pl')",1.4419123832684832e+16,13,66
"('A3sg', 'P1pl')",1.4419123842128956e+16,2850,66
"('Aor', 'While→Adv')",1.4241959486502548e+16,399,111
"('Pass→Verb', 'Imp')",1.4545983677404058e+16,251,34
"('Pass→Verb', 'A2sg')",1.403521108710634e+16,251,164
"('Imp', 'A2sg')",1.4035211082535376e+16,34,164
"('PastPart→Noun', 'P3sg')",1.4304801827342932e+16,179,95
"('A3sg', 'P3sg')",1.43048018344473e+16,2850,95
"('Inf2→Noun', 'A3sg')",6230797468879441.0,69,2850
"('Inf2→Noun', 'Dat')",1.4506274630768074e+16,69,44
"('A3sg', 'Dat')",1.4506274639772766e+16,2850,44
"('Prog1', 'A3pl')",1.3707868496414348e+16,1061,249
"('Narr', 'Past')",8029179821026714.0,277,2041
"('Narr', 'A1sg')",1.1381736379432898e+16,277,898
"('Opt', 'A1pl')",1.3784420072904728e+16,70,229
"('Prog1', 'A2sg')",1.4035211083821052e+16,1061,164
"('Narr', 'A3sg')",6230797468640153.0,277,2850
"('PastPart→Adj', 'P3sg')",1.4304801824264708e+16,102,95
"('PastPart→Noun', 'P1pl')",1.4419123835927584e+16,179,66
"('Prog1', 'A1sg')",1.1381736379284268e+16,1061,898
"('Neg', 'Desr')",1.4454710584691738e+16,143,57
"('Desr', 'A3sg')",6230797468538978.0,57,2850
"('Aor', 'Cond')",1.4498323657605622e+16,399,46
"('Aor', 'A2sg')",1.4035211083129344e+16,399,164
"('Cond', 'A2sg')",1.403521108250754e+16,46,164
"('Pass→Verb', 'Prog1')",1.0845395640543424e+16,251,1061
"('Pass→Verb', 'Past')",8029179824255550.0,251,2041
"('Prog1', 'Past')",8029179821589601.0,1061,2041
"('Desr', 'A1sg')",1.1381736378492252e+16,57,898
"('Prog1', 'A2pl')",1.4367792892205152e+16,1061,79
"('Neg', 'Past')",8029179822124110.0,143,2041
"('Inf1→Noun', 'Zero→Verb')",1.4332343284725176e+16,368,88
"('Inf1→Noun', 'Pres')",1.4379655884431618e+16,368,76
"('Inf1→Noun', 'Cop')",1.4206790757892848e+16,368,120
"('A3sg', 'Zero→Verb')",1.4332343291393064e+16,2850,88
"('A3sg', 'Pres')",1.4379655890551376e+16,2850,76
"('A3sg', 'A3sg')",6230797470554251.0,2850,2850
"('A3sg', 'Cop')",1.4206790764544592e+16,2850,120
"('Zero→Verb', 'Pres')",1.4379655881987246e+16,88,76
"('Zero→Verb', 'A3sg')",6230797470066613.0,88,2850
"('Zero→Verb', 'Cop')",1.420679075532878e+16,88,120
"('Pres', 'A3sg')",6230797468759178.0,76,2850
"('Pres', 'Cop')",1.4206790753810732e+16,76,120
"('Aor', 'AsIf→Adv')",1.4653615771068426e+16,399,7
"('A3sg', 'AsIf→Adv')",1.4653615780439772e+16,2850,7
"('P3sg', 'Loc')",1.4597752412928868e+16,95,21
"('Past', 'A2pl')",1.4367792892123414e+16,2041,79
"('Fut', 'Past')",8029179820800040.0,121,2041
"('Fut', 'A2sg')",1.4035211082652652e+16,121,164
"('Past', 'A2sg')",1.403521108394057e+16,2041,164
"('Narr', 'A3pl')",1.3707868495871548e+16,277,249
"('Pass→Verb', 'Aor')",1.3142977721319692e+16,251,399
"('PastPart→Adj', 'P1pl')",1.441912383219293e+16,102,66
"('Fut', 'A1sg')",1.1381736378581238e+16,121,898
"('Pass→Verb', 'Able→Verb')",1.4261550221106938e+16,251,106
"('Able→Verb', 'Aor')",1.3142977719192668e+16,106,399
"('Imp', 'A3sg')",6230797468487748.0,34,2850
"('Aor', 'Past')",8029179821190637.0,399,2041
"('Neg', 'Prog1')",1.084539563819122e+16,143,1061
"('PastPart→Adj', 'P2pl')",1.4577825532130204e+16,102,26
"('Narr', 'Cop')",1.4206790754547926e+16,277,120
"('Pass→Verb', 'PresPart→Adj')",1.4249790375258334e+16,251,109
"('Pass→Verb', 'Neg')",1.4116851914021954e+16,251,143
"('Pass→Verb', 'Fut')",1.420277271098955e+16,251,121
"('Aor', 'A1pl')",1.3784420072974156e+16,399,229
"('Able→Verb', 'A2pl')",1.4367792893154978e+16,106,79
"('Aor', 'A2pl')",1.4367792891145344e+16,399,79
"('Neg', 'Narr')",1.3601130576028118e+16,143,277
"('A3pl', 'Past')",8029179821421786.0,249,2041
"('PastPart→Adj', 'P2sg')",1.453009523930861e+16,102,38
"('Cond', 'A2pl')",1.4367792890621572e+16,46,79
"('PastPart→Noun', 'Dat')",1.4506274634149438e+16,179,44
"('P2pl', 'Dat')",1.4506274629858022e+16,26,44
"('Inf1→Noun', 'Ins')",1.4625663876091882e+16,368,14
"('A3sg', 'Ins')",1.4625663880687176e+16,2850,14
"('FutPart→Noun', 'P1sg')",1.4415168193019596e+16,13,67
"('FutPart→Noun', 'Acc')",1.4438913669146044e+16,13,61
"('A3sg', 'P1sg')",1.4415168202524992e+16,2850,67
"('A3sg', 'Acc')",1.4438913678991836e+16,2850,61
"('P1sg', 'Acc')",1.443891366924006e+16,67,61
"('P2pl', 'Loc')",1.4597752412831796e+16,26,21
"('Pass→Verb', 'Inf2→Noun')",1.4407243547930672e+16,251,69
"('Pass→Verb', 'P3sg')",1.4304801829056918e+16,251,95
"('Pass→Verb', 'Abl')",1.4601734519276492e+16,251,20
"('Inf2→Noun', 'P3sg')",1.4304801825251802e+16,69,95
"('Inf2→Noun', 'Abl')",1.4601734515605424e+16,69,20
"('A3sg', 'Abl')",1.4601734524288814e+16,2850,20
"('P3sg', 'Abl')",1.4601734514430392e+16,95,20
"('Aor', 'Narr')",1.3601130574289602e+16,399,277
"('Narr', 'A2sg')",1.4035211083377114e+16,277,164
"('Prog1', 'Cond')",1.4498323658840652e+16,1061,46
"('Prog1', 'A1pl')",1.3784420074056528e+16,1061,229
"('Cond', 'A1pl')",1.3784420072559844e+16,46,229
"('Fut', 'Cop')",1.4206790754032212e+16,121,120
"('Desr', 'Past')",8029179820732294.0,57,2041
"('Desr', 'A2sg')",1.4035211082559654e+16,57,164
"('Able→Verb', 'Prog1')",1.0845395638552576e+16,106,1061
"('Able→Verb', 'A1sg')",1.138173638060755e+16,106,898
"('Cond', 'A1sg')",1.1381736378488212e+16,46,898
"('PastPart→Noun', 'P1sg')",1.4415168196709392e+16,179,67
"('PastPart→Noun', 'Acc')",1.443891367253461e+16,179,61
"('PastPart→Noun', 'A3pl')",1.3707868499494808e+16,179,249
"('PastPart→Noun', 'P3pl')",1.4633644771103962e+16,179,12
"('A3pl', 'P3pl')",1.4633644767416172e+16,249,12
"('Fut', 'A2pl')",1.4367792890850754e+16,121,79
"('Inf2→Noun', 'P2sg')",1.453009524087583e+16,69,38
"('Pass→Verb', 'Cond')",1.4498323662194428e+16,251,46
"('Cond', 'A3sg')",6230797468509597.0,46,2850
"('Neg', 'Imp')",1.454598367560284e+16,143,34
"('Neg', 'A2pl')",1.4367792893304018e+16,143,79
"('Imp', 'A2pl')",1.4367792890614392e+16,34,79
"('PastPart→Adj', 'P3pl')",1.4633644766565608e+16,102,12
"('Inf2→Noun', 'Acc')",1.4438913670282668e+16,69,61
"('P3sg', 'Acc')",1.4438913669205924e+16,95,61
"('PastPart→Noun', 'Abl')",1.4601734518779288e+16,179,20
"('P2sg', 'Abl')",1.4601734514321214e+16,38,20
"('Pass→Verb', 'Desr')",1.4454710587037758e+16,251,57
"('Able→Verb', 'Neg')",1.4116851911524854e+16,106,143
"('Able→Verb', 'A3pl')",1.3707868497888284e+16,106,249
"('Able→Verb', 'Past')",8029179822685687.0,106,2041
"('Inf2→Noun', 'Gen')",1.4633646702506846e+16,69,12
"('A3sg', 'Gen')",1.4633646710931308e+16,2850,12
"('Inf1→Noun', 'Abl')",1.460173451997326e+16,368,20
"('Able→Verb', 'Neces')",1.4649616972615834e+16,106,8
"('Neces', 'A3sg')",6230797468470255.0,8,2850
"('Neg', 'Cop')",1.4206790756705848e+16,143,120
"('Opt', 'A1sg')",1.1381736378522676e+16,70,898
"('Desr', 'A3pl')",1.3707868495327184e+16,57,249
"('Narr', 'A1pl')",1.3784420073457558e+16,277,229
"('Desr', 'A2pl')",1.4367792890684034e+16,57,79
"('Able→Verb', 'A1pl')",1.3784420074646152e+16,106,229
"('P1sg', 'Loc')",1.4597752412974678e+16,67,21
"('Pass→Verb', 'When→Adv')",1.4641629298790944e+16,251,10
"('Pass→Verb', 'Unable')",1.4669603967984882e+16,251,3
"('Unable', 'Aor')",1.3142977718331376e+16,3,399
"('Unable', 'Past')",8029179820737303.0,3,2041
"('Unable', 'A3sg')",6230797468486524.0,3,2850
"('Neg', 'A2sg')",1.4035211085101418e+16,143,164
"('Narr', 'Cond')",1.4498323658057856e+16,277,46
"('Pass→Verb', 'ByDoingSo→Adv')",1.4289034222108008e+16,251,99
"('Prog2', 'A3sg')",6230797468542572.0,19,2850
"('Prog2', 'Cop')",1.4206790753769092e+16,19,120
"('Pass→Verb', 'Acc')",1.443891367396698e+16,251,61
"('Neg', 'A1pl')",1.378442007535186e+16,143,229
"('A3pl', 'P3sg')",1.4304801825092504e+16,249,95
"('A3pl', 'Acc')",1.4438913669820062e+16,249,61
"('Pass→Verb', 'Narr')",1.3601130578466582e+16,251,277
"('Pass→Verb', 'Cop')",1.4206790758734566e+16,251,120
"('A3pl', 'P1pl')",1.44191238330163e+16,249,66
"('Prog1', 'Cop')",1.420679075584846e+16,1061,120
"('Prog1', 'Narr')",1.3601130575280576e+16,1061,277
"('P1pl', 'Loc')",1.4597752413170112e+16,66,21
"('Neg', 'Inf2→Noun')",1.440724354585076e+16,143,69
"('Able→Verb', 'Inf1→Noun')",1.3258336766161402e+16,106,368
"('Able→Verb', 'Zero→Verb')",1.4332343283614348e+16,106,88
"('Able→Verb', 'Pres')",1.437965588312539e+16,106,76
"('Able→Verb', 'Cop')",1.4206790756451486e+16,106,120
"('Desr', 'A1pl')",1.3784420072590788e+16,57,229
"('Fut', 'A3pl')",1.370786849553181e+16,121,249
"('P2sg', 'Dat')",1.4506274629814282e+16,38,44
"('PresPart→Noun', 'A3pl')",1.3707868495324796e+16,26,249
"('PresPart→Noun', 'Dat')",1.4506274629944848e+16,26,44
"('A3pl', 'Dat')",1.45062746306694e+16,249,44
"('Pass→Verb', 'Prog2')",1.4605712274512846e+16,251,19
"('P3sg', 'Dat')",1.4506274629959332e+16,95,44
"('Narr', 'While→Adv')",1.4241959487337344e+16,277,111
"('Past', 'Cond')",1.4498323658682066e+16,2041,46
"('Able→Verb', 'Fut')",1.4202772708834222e+16,106,121
"('Inf2→Noun', 'With→Adj')",1.467760351187808e+16,69,1
"('A3sg', 'With→Adj')",1.4677603520230698e+16,2850,1
"('Neg', 'PresPart→Adj')",1.4249790374583224e+16,143,109
"('Inf1→Noun', 'Past')",8029179825411685.0,368,2041
"('A3sg', 'Past')",8029179827825238.0,2850,2041
"('Zero→Verb', 'Past')",8029179823942534.0,88,2041
"('NarrPart→Adj', 'Zero→Noun')",1.4677603268002492e+16,2,1
"('NarrPart→Adj', 'A3pl')",1.3707868495274084e+16,2,249
"('Zero→Noun', 'A3pl')",1.3707868495278852e+16,1,249
"('Neces', 'A1sg')",1.1381736378486382e+16,8,898
"('Caus→Verb', 'Caus→Verb')",1.4617677424192932e+16,16,16
"('Caus→Verb', 'Neg')",1.411685190986227e+16,16,143
"('Caus→Verb', 'Aor')",1.3142977718904252e+16,16,399
"('Caus→Verb', 'A1sg')",1.1381736379089042e+16,16,898
"('Pass→Verb', 'PastPart→Adj')",1.4277248897266858e+16,251,102
"('Fut', 'A1pl')",1.378442007281309e+16,121,229
"('Pass→Verb', 'Dat')",1.4506274634816766e+16,251,44
"('PastPart→Noun', 'Gen')",1.4633646705564508e+16,179,12
"('Caus→Verb', 'Inf1→Noun')",1.3258336764330464e+16,16,368
"('Caus→Verb', 'A3sg')",6230797469018245.0,16,2850
"('Able→Verb', 'PastPart→Adj')",1.4277248894887388e+16,106,102
"('Narr', 'A2pl')",1.4367792891507016e+16,277,79
"('Able→Verb', 'P2pl')",1.457782553473135e+16,106,26
"('Neg', 'FutPart→Adj')",1.4621667265066476e+16,143,15
"('Neg', 'P2pl')",1.4577825534924666e+16,143,26
"('FutPart→Adj', 'P2pl')",1.4577825532121344e+16,15,26
"('PresPart→Noun', 'A3sg')",6230797468797471.0,26,2850
"('PresPart→Noun', 'P2sg')",1.453009523964535e+16,26,38
"('Inf2→Noun', 'P1sg')",1.4415168194104884e+16,69,67
"('P1sg', 'Dat')",1.4506274629974982e+16,67,44
"('Neg', 'PastPart→Noun')",1.3977013617245174e+16,143,179
"('Neg', 'P2sg')",1.4530095242113404e+16,143,38
"('Neg', 'Dat')",1.4506274632612838e+16,143,44
"('Inf2→Noun', 'P2pl')",1.457782553365916e+16,69,26
"('Able→Verb', 'A2sg')",1.4035211085093728e+16,106,164
"('P2pl', 'Acc')",1.4438913669062778e+16,26,61
"('A3pl', 'P2sg')",1.4530095240105646e+16,249,38
"('Prog2', 'Past')",8029179820925317.0,19,2041
"('A3sg', 'P3pl')",1.463364477640434e+16,2850,12
"('Caus→Verb', 'Fut')",1.420277270720612e+16,16,121
"('FutPart→Noun', 'P2sg')",1.4530095239696552e+16,13,38
"('P2sg', 'Acc')",1.4438913669026638e+16,38,61
"('Caus→Verb', 'Past')",8029179821211187.0,16,2041
"('Caus→Verb', 'A2sg')",1.4035211083206566e+16,16,164
"('Pass→Verb', 'Gen')",1.4633646706017902e+16,251,12
"('P3sg', 'Gen')",1.4633646701117546e+16,95,12
"('FutPart→Adj', 'P1pl')",1.441912383222976e+16,15,66
"('Able→Verb', 'Cond')",1.4498323659784512e+16,106,46
"('Inf2→Noun', 'Zero→Verb')",1.433234328253185e+16,69,88
"('Inf2→Noun', 'Past')",8029179822018890.0,69,2041
"('P3sg', 'Zero→Verb')",1.433234328108814e+16,95,88
"('P3sg', 'Past')",8029179820792556.0,95,2041
"('P3sg', 'A3sg')",6230797468489934.0,95,2850
"('Able→Verb', 'PastPart→Noun')",1.3977013617081912e+16,106,179
"('Able→Verb', 'Acc')",1.4438913671609532e+16,106,61
"('Neces', 'Cop')",1.4206790753743434e+16,8,120
"('A3pl', 'P2pl')",1.4577825532945564e+16,249,26
"('Inf2→Noun', 'P3pl')",1.4633644768112314e+16,69,12
"('Unable', 'Desr')",1.4454710582113176e+16,3,57
"('P1sg', 'Abl')",1.4601734514487052e+16,67,20
"('Prog2', 'A3pl')",1.3707868495572158e+16,19,249
"('Cop', 'A3pl')",1.3707868495984054e+16,120,249
"('PresPart→Noun', 'P3sg')",1.430480182461266e+16,26,95
"('PresPart→Noun', 'Acc')",1.4438913669292896e+16,26,61
"('P1sg', 'Gen')",1.463364670118234e+16,67,12
"('PresPart→Noun', 'Gen')",1.4633646701272648e+16,26,12
"('Caus→Verb', 'PresPart→Noun')",1.4577815643981028e+16,16,26
"('Caus→Verb', 'A3pl')",1.3707868495970536e+16,16,249
"('Caus→Verb', 'Dat')",1.4506274630469086e+16,16,44
"('Inf2→Noun', 'Ins')",1.4625663872239344e+16,69,14
"('P3sg', 'Ins')",1.4625663870817782e+16,95,14
"('PresPart→Noun', 'Abl')",1.4601734514650736e+16,26,20
"('PresPart→Noun', 'Zero→Verb')",1.4332343281323704e+16,26,88
"('PresPart→Noun', 'Cond')",1.4498323657518534e+16,26,46
"('PresPart→Noun', 'A2pl')",1.4367792890978728e+16,26,79
"('A3pl', 'Abl')",1.4601734515119508e+16,249,20
"('A3pl', 'Zero→Verb')",1.4332343281746522e+16,249,88
"('A3pl', 'Cond')",1.449832365798552e+16,249,46
"('A3pl', 'A2pl')",1.4367792891424346e+16,249,79
"('Abl', 'Zero→Verb')",1.433234328104631e+16,20,88
"('Abl', 'Cond')",1.4498323657250928e+16,20,46
"('Abl', 'A2pl')",1.436779289070686e+16,20,79
"('Zero→Verb', 'Cond')",1.4498323661421306e+16,88,46
"('Zero→Verb', 'A2pl')",1.4367792894888412e+16,88,79
"('Neg', 'P3sg')",1.4304801827076402e+16,143,95
"('Neg', 'Acc')",1.4438913671810066e+16,143,61
"('A3pl', 'Gen')",1.4633646701844848e+16,249,12
"('A3pl', 'Cop')",1.42067907544697e+16,249,120
"('A1sg', 'Cond')",1.4498323663312602e+16,898,46
"('Pass→Verb', 'NarrPart→Adj')",1.4673603014819666e+16,251,2
"('Neg', 'Opt')",1.4403291050142046e+16,143,70
"('Opt', 'A2pl')",1.4367792890655532e+16,70,79
"('Fut', 'Cond')",1.4498323657425882e+16,121,46
"('Neg', 'AfterDoingSo→Adv')",1.465760949208766e+16,143,6
"('Caus→Verb', 'PresPart→Adj')",1.4249790372467558e+16,16,109
"('Pass→Verb', 'PresPart→Noun')",1.4577815648270744e+16,251,26
"('FeelLike→Noun', 'A3sg')",6230797468490926.0,1,2850
"('FeelLike→Noun', 'Zero→Verb')",1.4332343281010478e+16,1,88
"('FeelLike→Noun', 'Narr')",1.3601130573715726e+16,1,277
"('A3sg', 'Narr')",1.3601130583227662e+16,2850,277
"('Zero→Verb', 'Narr')",1.3601130577831344e+16,88,277
"('Pass→Verb', 'Ins')",1.4625663875720266e+16,251,14
"('PresPart→Noun', 'Ins')",1.4625663871043892e+16,26,14
"('P1sg', 'Ins')",1.462566387088256e+16,67,14
"('FutPart→Noun', 'P3sg')",1.4304801824740248e+16,13,95
"('Able→Verb', 'PresPart→Adj')",1.424979037439033e+16,106,109
"('Pass→Verb', 'AfterDoingSo→Adv')",1.4657609494297232e+16,251,6
"('Inf1→Noun', 'Loc')",1.4597752418454052e+16,368,21
"('PresPart→Noun', 'P3pl')",1.4633644766886572e+16,26,12
"('Able→Verb', 'Abl')",1.460173451692157e+16,106,20
"('Neg', 'Abl')",1.4601734517115318e+16,143,20
